idx_type,date,value
index_old,2008-07-01,-17.2834441657541
index_old,2008-10-01,-27.0862675835655
index_old,2009-01-01,-22.7486556778728
index_old,2009-04-01,-37.5849517015831
index_old,2009-07-01,-41.8514299300073
index_old,2009-10-01,-29.5690485664306
index_old,2010-01-01,-22.097692872899
index_old,2010-04-01,-4.22243571519987
index_old,2010-07-01,1.40968793226736
index_old,2010-10-01,1.98778546660035
index_old,2011-01-01,5.63463159951459
index_old,2011-04-01,5.02020145803679
index_old,2011-07-01,-6.28537932876828
index_old,2011-10-01,-18.0964469691823
index_old,2012-01-01,-18.4560787694498
index_old,2012-04-01,-8.86250686388312
index_old,2012-07-01,-13.1063117826616
index_old,2012-10-01,-10.9173488494954
index_old,2013-01-01,-2.05455867760539
index_old,2013-04-01,-4.74142457582155
index_old,2013-07-01,-5.98439363812961
index_old,2013-10-01,-1.32218407583049
index_old,2014-01-01,2.73574855025695
index_old,2014-04-01,0.396984378843859
index_old,2014-07-01,-0.732231170689283
index_old,2014-10-01,-5.28549075808773
index_old,2015-01-01,-0.688197306881572
index_old,2015-04-01,-7.02762230829554
index_old,2015-07-01,-17.0995570912342
index_old,2015-10-01,-14.5586374568167
index_old,2016-01-01,-12.9257382943729
index_old,2016-04-01,-11.7008885501944
index_old,2016-07-01,-14.3470311859204
index_old,2016-10-01,-12.2608373103195
index_old,2017-01-01,-6.43669986038063
index_old,2017-04-01,-7.02191692238034
index_old,2017-07-01,-1.96770012645945
index_old,2017-10-01,-2.26747503857227
index_old,2018-01-01,1.26013214472024
index_old,2018-04-01,0.270381084791306
i6_index,1972-10-01,5.51341444123053
i6_index,1973-01-01,-5.90888761197266
i6_index,1973-04-01,-6.70300131586456
i6_index,1973-07-01,-8.12843704528985
i6_index,1973-10-01,-20.8836149745313
i6_index,1974-01-01,-18.3853418887988
i6_index,1974-04-01,-31.334275618861
i6_index,1974-07-01,-27.4472169588665
i6_index,1974-10-01,-36.2964078623001
i6_index,1975-01-01,-34.6913447713322
i6_index,1975-04-01,-24.3756255563004
i6_index,1975-07-01,-20.5283490869387
i6_index,1975-10-01,-27.3588381434235
i6_index,1976-01-01,-27.4026163690199
i6_index,1976-04-01,4.09604525569526
i6_index,1976-07-01,13.5515336153639
i6_index,1976-10-01,2.63520926243312
i6_index,1977-01-01,-18.352767996049
i6_index,1977-04-01,-1.2863614583523
i6_index,1977-07-01,7.32218113137411
i6_index,1977-10-01,-0.780226726576795
i6_index,1978-01-01,1.71745917992213
i6_index,1978-04-01,-0.646380180965544
i6_index,1978-07-01,-3.27950270815587
i6_index,1978-10-01,-20.3699566906025
i6_index,1979-01-01,-9.20044363561022
i6_index,1979-04-01,3.28290812332276
i6_index,1979-07-01,-10.7395848346747
i6_index,1979-10-01,-17.0449169392025
i6_index,1980-01-01,-10.3547769867628
i6_index,1980-04-01,-9.06125067496852
i6_index,1980-07-01,-7.38795634021935
i6_index,1980-10-01,-15.8860000796755
i6_index,1981-01-01,-19.8563480524024
i6_index,1981-04-01,-25.8149631495392
i6_index,1981-07-01,-28.1300609232419
i6_index,1981-10-01,-32.9528517024946
i6_index,1982-01-01,-26.8784840515152
i6_index,1982-04-01,-21.2635493746107
